report_time,facility_name,wait_time,times_unavailable
2025-10-01 00:00:00.000000,Airdrie Community Health Centre,97,0
2025-10-01 00:00:00.000000,Alberta Children's Hospital,132,0
2025-10-01 00:00:00.000000,Chinook Regional Hospital,69,0
2025-10-01 00:00:00.000000,Cochrane Community Health Centre,,0
2025-10-01 00:00:00.000000,Devon General Hospital,123,0
2025-10-01 00:00:00.000000,Foothills Medical Centre,227,0
2025-10-01 00:00:00.000000,Fort Sask Community Hospital,410,0
2025-10-01 00:00:00.000000,Grande Prairie Regional Hospital,129,0
2025-10-01 00:00:00.000000,Grey Nuns Community Hospital,541,0
2025-10-01 00:00:00.000000,Innisfail Health Centre,,1
2025-10-01 00:00:00.000000,Lacombe Hospital and Care Centre,,1
2025-10-01 00:00:00.000000,Leduc Community Hospital,341,0
2025-10-01 00:00:00.000000,Medicine Hat Regional Hospital,49,0
2025-10-01 00:00:00.000000,Misericordia Community Hospital,337,0
2025-10-01 00:00:00.000000,Northeast Community Health Centre,216,0
2025-10-01 00:00:00.000000,Northern Lights Regional Health Centre,235,0
2025-10-01 00:00:00.000000,Okotoks Health and Wellness Centre,,0
2025-10-01 00:00:00.000000,Peter Lougheed Centre,303,0
2025-10-01 00:00:00.000000,Red Deer Regional Hospital,30,0
2025-10-01 00:00:00.000000,Rockyview General Hospital,261,0
2025-10-01 00:00:00.000000,Royal Alexandra Hospital,388,0
2025-10-01 00:00:00.000000,Sheldon M. Chumir Centre,73,0
2025-10-01 00:00:00.000000,South Calgary Health Centre,,0
2025-10-01 00:00:00.000000,South Health Campus,427,0
2025-10-01 00:00:00.000000,Stollery Children's Hospital,246,0
2025-10-01 00:00:00.000000,Strathcona Community Hospital,216,0
2025-10-01 00:00:00.000000,Sturgeon Community Hospital,210,0
2025-10-01 00:00:00.000000,University of Alberta Hospital,356,0
2025-10-01 00:00:00.000000,WestView Health Centre,251,0
2025-10-01 00:10:00.000000,Airdrie Community Health Centre,88,0
2025-10-01 00:10:00.000000,Alberta Children's Hospital,84,0
2025-10-01 00:10:00.000000,Chinook Regional Hospital,75,0
2025-10-01 00:10:00.000000,Cochrane Community Health Centre,,0
2025-10-01 00:10:00.000000,Devon General Hospital,185,0
2025-10-01 00:10:00.000000,Foothills Medical Centre,242,0
2025-10-01 00:10:00.000000,Fort Sask Community Hospital,410,0
2025-10-01 00:10:00.000000,Grande Prairie Regional Hospital,129,0
2025-10-01 00:10:00.000000,Grey Nuns Community Hospital,554,0
2025-10-01 00:10:00.000000,Innisfail Health Centre,,1
2025-10-01 00:10:00.000000,Lacombe Hospital and Care Centre,,1
2025-10-01 00:10:00.000000,Leduc Community Hospital,317,0
2025-10-01 00:10:00.000000,Medicine Hat Regional Hospital,104,0
2025-10-01 00:10:00.000000,Misericordia Community Hospital,347,0
2025-10-01 00:10:00.000000,Northeast Community Health Centre,214,0
2025-10-01 00:10:00.000000,Northern Lights Regional Health Centre,235,0
2025-10-01 00:10:00.000000,Okotoks Health and Wellness Centre,,0
2025-10-01 00:10:00.000000,Peter Lougheed Centre,301,0
2025-10-01 00:10:00.000000,Red Deer Regional Hospital,58,0
2025-10-01 00:10:00.000000,Rockyview General Hospital,289,0
2025-10-01 00:10:00.000000,Royal Alexandra Hospital,376,0
2025-10-01 00:10:00.000000,Sheldon M. Chumir Centre,85,0
2025-10-01 00:10:00.000000,South Calgary Health Centre,,0
2025-10-01 00:10:00.000000,South Health Campus,410,0
2025-10-01 00:10:00.000000,Stollery Children's Hospital,240,0
2025-10-01 00:10:00.000000,Strathcona Community Hospital,236,0
2025-10-01 00:10:00.000000,Sturgeon Community Hospital,216,0
2025-10-01 00:10:00.000000,University of Alberta Hospital,375,0
2025-10-01 00:10:00.000000,WestView Health Centre,257,0
2025-10-01 00:20:00.000000,Airdrie Community Health Centre,92,0
2025-10-01 00:20:00.000000,Alberta Children's Hospital,94,0
2025-10-01 00:20:00.000000,Chinook Regional Hospital,67,0
2025-10-01 00:20:00.000000,Cochrane Community Health Centre,,0
2025-10-01 00:20:00.000000,Devon General Hospital,185,0
2025-10-01 00:20:00.000000,Foothills Medical Centre,215,0
2025-10-01 00:20:00.000000,Fort Sask Community Hospital,369,0
2025-10-01 00:20:00.000000,Grande Prairie Regional Hospital,129,0
2025-10-01 00:20:00.000000,Grey Nuns Community Hospital,580,0
2025-10-01 00:20:00.000000,Innisfail Health Centre,,1
2025-10-01 00:20:00.000000,Lacombe Hospital and Care Centre,,1
2025-10-01 00:20:00.000000,Leduc Community Hospital,268,0
2025-10-01 00:20:00.000000,Medicine Hat Regional Hospital,86,0
