report_time,facility_name,wait_time,times_unavailable
2026-08-01 00:20:00.000000,WestView Health Centre,447,0
2026-08-01 00:30:00.000000,Airdrie Community Health Centre,307,0
2026-08-01 00:30:00.000000,Alberta Children's Hospital,107,0
2026-08-01 00:30:00.000000,Chinook Regional Hospital,132,0
2026-08-01 00:30:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:30:00.000000,Devon General Hospital,254,0
2026-08-01 00:30:00.000000,Foothills Medical Centre,357,0
2026-08-01 00:30:00.000000,Fort Sask Community Hospital,321,0
2026-08-01 00:30:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 00:30:00.000000,Grey Nuns Community Hospital,421,0
2026-08-01 00:30:00.000000,Innisfail Health Centre,,1
2026-08-01 00:30:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:30:00.000000,Leduc Community Hospital,226,0
2026-08-01 00:30:00.000000,Medicine Hat Regional Hospital,361,0
2026-08-01 00:30:00.000000,Misericordia Community Hospital,275,0
2026-08-01 00:30:00.000000,Northeast Community Health Centre,176,0
2026-08-01 00:30:00.000000,Northern Lights Regional Health Centre,47,0
2026-08-01 00:30:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:30:00.000000,Peter Lougheed Centre,474,0
2026-08-01 00:30:00.000000,Red Deer Regional Hospital,95,0
2026-08-01 00:30:00.000000,Rockyview General Hospital,328,0
2026-08-01 00:30:00.000000,Royal Alexandra Hospital,361,0
2026-08-01 00:30:00.000000,Sheldon M. Chumir Centre,325,0
2026-08-01 00:30:00.000000,South Calgary Health Centre,,0
2026-08-01 00:30:00.000000,South Health Campus,366,0
2026-08-01 00:30:00.000000,Stollery Children's Hospital,142,0
2026-08-01 00:30:00.000000,Strathcona Community Hospital,222,0
2026-08-01 00:30:00.000000,Sturgeon Community Hospital,371,0
2026-08-01 00:30:00.000000,University of Alberta Hospital,247,0
2026-08-01 00:30:00.000000,WestView Health Centre,481,0
2026-08-01 00:40:00.000000,Airdrie Community Health Centre,322,0
2026-08-01 00:40:00.000000,Alberta Children's Hospital,112,0
2026-08-01 00:40:00.000000,Chinook Regional Hospital,138,0
2026-08-01 00:40:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:40:00.000000,Devon General Hospital,222,0
2026-08-01 00:40:00.000000,Foothills Medical Centre,356,0
2026-08-01 00:40:00.000000,Fort Sask Community Hospital,321,0
2026-08-01 00:40:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 00:40:00.000000,Grey Nuns Community Hospital,433,0
2026-08-01 00:40:00.000000,Innisfail Health Centre,,1
2026-08-01 00:40:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:40:00.000000,Leduc Community Hospital,247,0
2026-08-01 00:40:00.000000,Medicine Hat Regional Hospital,364,0
2026-08-01 00:40:00.000000,Misericordia Community Hospital,278,0
2026-08-01 00:40:00.000000,Northeast Community Health Centre,215,0
2026-08-01 00:40:00.000000,Northern Lights Regional Health Centre,47,0
2026-08-01 00:40:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:40:00.000000,Peter Lougheed Centre,467,0
2026-08-01 00:40:00.000000,Red Deer Regional Hospital,127,0
2026-08-01 00:40:00.000000,Rockyview General Hospital,362,0
2026-08-01 00:40:00.000000,Royal Alexandra Hospital,381,0
2026-08-01 00:40:00.000000,Sheldon M. Chumir Centre,333,0
2026-08-01 00:40:00.000000,South Calgary Health Centre,,0
2026-08-01 00:40:00.000000,South Health Campus,374,0
2026-08-01 00:40:00.000000,Stollery Children's Hospital,159,0
2026-08-01 00:40:00.000000,Strathcona Community Hospital,253,0
2026-08-01 00:40:00.000000,Sturgeon Community Hospital,386,0
2026-08-01 00:40:00.000000,University of Alberta Hospital,240,0
2026-08-01 00:40:00.000000,WestView Health Centre,447,0
2026-08-01 00:50:00.000000,Airdrie Community Health Centre,315,0
2026-08-01 00:50:00.000000,Alberta Children's Hospital,76,0
2026-08-01 00:50:00.000000,Chinook Regional Hospital,132,0
2026-08-01 00:50:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:50:00.000000,Devon General Hospital,222,0
2026-08-01 00:50:00.000000,Foothills Medical Centre,344,0
2026-08-01 00:50:00.000000,Fort Sask Community Hospital,250,0
2026-08-01 00:50:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 00:50:00.000000,Grey Nuns Community Hospital,421,0
2026-08-01 00:50:00.000000,Innisfail Health Centre,,1
2026-08-01 00:50:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:50:00.000000,Leduc Community Hospital,226,0
2026-08-01 00:50:00.000000,Medicine Hat Regional Hospital,351,0
2026-08-01 00:50:00.000000,Misericordia Community Hospital,212,0
2026-08-01 00:50:00.000000,Northeast Community Health Centre,260,0
2026-08-01 00:50:00.000000,Northern Lights Regional Health Centre,30,0
2026-08-01 00:50:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:50:00.000000,Peter Lougheed Centre,480,0
2026-08-01 00:50:00.000000,Red Deer Regional Hospital,112,0
2026-08-01 00:50:00.000000,Rockyview General Hospital,375,0
2026-08-01 00:50:00.000000,Royal Alexandra Hospital,365,0
2026-08-01 00:50:00.000000,Sheldon M. Chumir Centre,343,0
2026-08-01 00:50:00.000000,South Calgary Health Centre,,0
2026-08-01 00:50:00.000000,South Health Campus,383,0
2026-08-01 00:50:00.000000,Stollery Children's Hospital,169,0
2026-08-01 00:50:00.000000,Strathcona Community Hospital,223,0
2026-08-01 00:50:00.000000,Sturgeon Community Hospital,407,0
2026-08-01 00:50:00.000000,University of Alberta Hospital,241,0
2026-08-01 00:50:00.000000,WestView Health Centre,447,0
2026-08-01 01:00:00.000000,Airdrie Community Health Centre,331,0
2026-08-01 01:00:00.000000,Alberta Children's Hospital,50,0
2026-08-01 01:00:00.000000,Chinook Regional Hospital,153,0
2026-08-01 01:00:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:00:00.000000,Devon General Hospital,190,0
2026-08-01 01:00:00.000000,Foothills Medical Centre,356,0
2026-08-01 01:00:00.000000,Fort Sask Community Hospital,250,0
2026-08-01 01:00:00.000000,Grande Prairie Regional Hospital,81,0
2026-08-01 01:00:00.000000,Grey Nuns Community Hospital,399,0
2026-08-01 01:00:00.000000,Innisfail Health Centre,,1
2026-08-01 01:00:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:00:00.000000,Leduc Community Hospital,247,0
2026-08-01 01:00:00.000000,Medicine Hat Regional Hospital,364,0
2026-08-01 01:00:00.000000,Misericordia Community Hospital,243,0
2026-08-01 01:00:00.000000,Northeast Community Health Centre,276,0
2026-08-01 01:00:00.000000,Northern Lights Regional Health Centre,30,0
